<details> <summary> <b>packages new commit log :rocket: </b> </summary>

#### [:mega: Full Changelog. ](https://github.com/openwrt/packages/compare/7428aa65641f52bd2cf30a2d4b3744cfeb8c82d8...10819afeb32d1f593a26e2064e05acd43a1ce925)  
:heavy_exclamation_mark: The list displays only the latest 15 commit logs.  

SHA|Author|Date|Message
-|-|-|-
10819afeb|Chester A. Unal|Wed Jun 24 19:58:37 2026 +0100|bsbf-resources: update to GIT HEAD of 2026-06-24
f9656b220|Alexandru Ardelean|Thu Apr 16 21:15:27 2026 +0300|vobject: update to 0.9.9; add test.sh
84a86faaf|Daniel F. Dickinson|Thu May 7 03:04:18 2026 -0400|radicale3: bump version and adjust dependencies
376e082e3|Daniel F. Dickinson|Thu May 7 03:00:02 2026 -0400|radicale3: clean out cspell hints
575e71df8|Hirokazu MORIKAWA|Mon Jun 22 20:36:36 2026 +0900|node: bump to 22.23.0
1e8762925|Rui Salvaterra|Wed Jun 3 10:31:44 2026 +0100|tor: update to 0.4.9.9 stable
1df6112ae|Wei-Ting Yang|Tue Jun 23 12:46:26 2026 +0800|expat: update to 2.8.1
4ac1ae920|Glenn Strauss|Thu Jun 18 00:21:36 2026 -0400|lighttpd: update to lighttpd 1.4.84 release hash
5f793a28b|Dengfeng Liu|Sun Jun 14 19:09:34 2026 +0800|xfrpc: update to 5.06.909
7c440ca8f|Hannu Nyman|Tue Jun 23 16:47:21 2026 +0300|haveged: update to 1.9.24
</details>
